app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 10:35:48.280 [info] <0.16238.2> accepting AMQP connection <0.16238.2> (10.0.16.4:51486 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 10:35:48.283 [info] <0.16238.2> connection <0.16238.2> (10.0.16.4:51486 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 10:51:33.722 [info] <0.16481.2> accepting AMQP connection <0.16481.2> (10.0.16.4:51494 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 10:51:33.726 [info] <0.16481.2> connection <0.16481.2> (10.0.16.4:51494 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 11:07:19.189 [info] <0.16724.2> accepting AMQP connection <0.16724.2> (10.0.16.4:52052 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 11:07:19.193 [info] <0.16724.2> connection <0.16724.2> (10.0.16.4:52052 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 11:23:04.613 [info] <0.16964.2> accepting AMQP connection <0.16964.2> (10.0.16.4:53194 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 11:23:04.618 [info] <0.16964.2> connection <0.16964.2> (10.0.16.4:53194 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 11:38:50.051 [info] <0.17209.2> accepting AMQP connection <0.17209.2> (10.0.16.4:53852 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 11:38:50.056 [info] <0.17209.2> connection <0.17209.2> (10.0.16.4:53852 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 11:54:35.486 [info] <0.17452.2> accepting AMQP connection <0.17452.2> (10.0.16.4:53860 -> 10.0.16.8:5673)
